,date,open,high,low,close,volume
0,2026-01-22,49201.80859375,49579.8984375,49201.80859375,49350.26953125,64829319
1,2026-01-21,48546.03125,49295.03125,48546.03125,49077.23046875,600840000
2,2026-01-20,49005.01171875,49005.01171875,48428.12890625,48488.58984375,676030000
3,2026-01-16,49466.69921875,49616.69921875,49246.23828125,49359.328125,992970000
4,2026-01-15,49201.1015625,49581.1796875,49201.1015625,49442.44140625,541520000
5,2026-01-14,49088.25,49195.1015625,48851.98046875,49149.62890625,530670000
6,2026-01-13,49616.94921875,49616.94921875,49056.30859375,49191.98828125,549950000
7,2026-01-12,49499.671875,49633.3515625,49011.30859375,49590.19921875,516430000
8,2026-01-09,49234.80859375,49571.41015625,49197.05859375,49504.0703125,444480000
9,2026-01-08,48850.171875,49357.73828125,48792.33984375,49266.109375,515070000
10,2026-01-07,49512.71875,49621.4296875,48951.98828125,48996.078125,506140000
11,2026-01-06,48987.359375,49509.921875,48923.828125,49462.078125,541220000
12,2026-01-05,48475.80859375,49209.94921875,48449.62109375,48977.1796875,578580000
13,2026-01-02,48105.98046875,48404.05859375,47853.0390625,48382.390625,465060000
14,2025-12-31,48371.51953125,48394.51171875,48050.87890625,48063.2890625,336060000
15,2025-12-30,48434.87890625,48471.69921875,48297.26171875,48367.05859375,282570000
16,2025-12-29,48636.62890625,48704.828125,48390.91015625,48461.9296875,321850000
17,2025-12-26,48712.46875,48782.0,48589.0703125,48710.96875,288770000
18,2025-12-24,48424.7109375,48771.3203125,48386.58984375,48731.16015625,206740000
19,2025-12-23,48320.58984375,48527.5,48254.30859375,48442.41015625,418920000
20,2025-12-22,48211.87890625,48457.46875,48199.12890625,48362.6796875,427050000
21,2025-12-19,47974.8203125,48289.62890625,47974.8203125,48134.890625,1227520000
22,2025-12-18,48101.1796875,48365.9296875,47849.48046875,47951.8515625,521430000
23,2025-12-17,48128.05078125,48387.328125,47856.7890625,47885.96875,534260000
24,2025-12-16,48380.171875,48452.171875,47946.25,48114.26171875,457400000
25,2025-12-15,48594.359375,48679.140625,48283.26953125,48416.55859375,516630000
26,2025-12-12,48714.75,48886.859375,48334.1015625,48458.05078125,495830000
27,2025-12-11,48082.8984375,48756.33984375,48082.8984375,48704.01171875,493950000
28,2025-12-10,47573.9609375,48197.30078125,47462.94140625,48057.75,545610000
29,2025-12-09,47724.51953125,47957.7890625,47533.6015625,47560.2890625,425470000
30,2025-12-08,47971.51171875,47971.51171875,47611.9296875,47739.3203125,505490000
31,2025-12-05,47879.6015625,48133.5390625,47871.51171875,47954.98828125,456100000
32,2025-12-04,47888.16015625,48049.71875,47692.9609375,47850.94140625,498740000
33,2025-12-03,47371.62109375,47969.640625,47371.62109375,47882.8984375,490380000
34,2025-12-02,47416.91015625,47597.109375,47263.921875,47474.4609375,510900000
35,2025-12-01,47580.8515625,47676.03125,47271.109375,47289.328125,482190000
36,2025-11-28,47482.25,47750.76953125,47475.609375,47716.421875,272500000
37,2025-11-26,47196.1484375,47571.3984375,47196.1484375,47427.12109375,454980000
38,2025-11-25,46482.359375,47182.8984375,46341.3515625,47112.44921875,648860000
39,2025-11-24,46351.9296875,46587.7109375,46108.01171875,46448.26953125,743580000
40,2025-11-21,45808.6484375,46577.5,45781.578125,46245.41015625,790560000
41,2025-11-20,46567.51171875,46856.75,45728.9296875,45752.26171875,721440000
42,2025-11-19,46138.6796875,46299.12890625,45905.19140625,46138.76953125,555370000
43,2025-11-18,46382.921875,46382.921875,45913.6015625,46091.73828125,596360000
44,2025-11-17,47068.05859375,47202.55859375,46430.26953125,46590.23828125,503830000
