,date,open,high,low,close,volume
0,2026-01-22,111600.0,111600.0,105400.0,106200.0,1726668
1,2026-01-21,102500.0,110500.0,101500.0,109300.0,2536425
2,2026-01-20,109200.0,109300.0,102100.0,105000.0,1913232
3,2026-01-19,97700.0,107600.0,95300.0,106900.0,3808484
4,2026-01-16,95100.0,103700.0,94300.0,98400.0,4653041
5,2026-01-15,92200.0,94400.0,91700.0,94000.0,1123935
6,2026-01-14,91900.0,97200.0,91100.0,92500.0,2215408
7,2026-01-13,88600.0,90800.0,88200.0,90800.0,1125930
8,2026-01-12,88900.0,89000.0,86600.0,88000.0,1165681
9,2026-01-09,92000.0,92200.0,87900.0,89100.0,1547720
10,2026-01-08,92000.0,92900.0,91100.0,92200.0,767354
11,2026-01-07,94000.0,94000.0,90800.0,92300.0,1018835
12,2026-01-06,94000.0,96400.0,93000.0,94000.0,870410
13,2026-01-05,92500.0,94700.0,92400.0,93000.0,753679
14,2026-01-02,92200.0,92200.0,90800.0,91400.0,467181
15,2025-12-30,92000.0,92200.0,90900.0,91900.0,418596
16,2025-12-29,91300.0,91900.0,90300.0,91800.0,373276
17,2025-12-26,93400.0,93400.0,91500.0,91600.0,368644
18,2025-12-24,93200.0,94100.0,92500.0,92500.0,288895
19,2025-12-23,94100.0,94700.0,92500.0,92700.0,426912
20,2025-12-22,94800.0,94900.0,93000.0,93900.0,475361
21,2025-12-19,94100.0,94300.0,92700.0,94300.0,775883
22,2025-12-18,94000.0,94200.0,91500.0,93000.0,681180
23,2025-12-17,94000.0,96500.0,93400.0,96300.0,668159
24,2025-12-16,96100.0,96200.0,92800.0,93100.0,559341
25,2025-12-15,94700.0,97100.0,94200.0,95700.0,581279
26,2025-12-12,95700.0,96400.0,94800.0,96400.0,481346
27,2025-12-11,95900.0,96800.0,94700.0,94700.0,785399
28,2025-12-10,95800.0,95900.0,94000.0,94500.0,538045
29,2025-12-09,97000.0,97000.0,94800.0,95500.0,691477
30,2025-12-08,99700.0,99800.0,96100.0,97100.0,851551
31,2025-12-05,98200.0,102500.0,97400.0,99700.0,2776901
32,2025-12-04,89900.0,95600.0,89000.0,94800.0,1757147
33,2025-12-03,87200.0,90500.0,86800.0,89500.0,568024
34,2025-12-02,85800.0,87200.0,85500.0,87200.0,400432
35,2025-12-01,85800.0,86400.0,85100.0,85400.0,428509
36,2025-11-28,85800.0,86100.0,84900.0,85600.0,322741
37,2025-11-27,86600.0,87100.0,85000.0,85400.0,548757
38,2025-11-26,86200.0,86500.0,84700.0,86500.0,455906
39,2025-11-25,85800.0,87700.0,85100.0,85200.0,485683
40,2025-11-24,87500.0,87500.0,84000.0,84000.0,759352
41,2025-11-21,85200.0,86700.0,84900.0,86400.0,311895
42,2025-11-20,88900.0,89200.0,87300.0,87300.0,355910
43,2025-11-19,88500.0,88600.0,85000.0,87100.0,613143
44,2025-11-18,90700.0,91000.0,87500.0,87600.0,632417
45,2025-11-17,92000.0,92000.0,90400.0,91400.0,480706
46,2025-11-14,90600.0,92300.0,90000.0,90200.0,586352
47,2025-11-13,92900.0,96200.0,91800.0,92500.0,1173916
48,2025-11-12,94500.0,94500.0,92000.0,92900.0,1023036
49,2025-11-11,90300.0,92500.0,89800.0,90600.0,971144
50,2025-11-10,89000.0,90400.0,86700.0,89600.0,702948
51,2025-11-07,91100.0,91100.0,87600.0,88300.0,1113728
52,2025-11-06,89100.0,93300.0,88700.0,91700.0,2254077
53,2025-11-05,88000.0,88000.0,83400.0,87100.0,912444
54,2025-11-04,88600.0,91300.0,88300.0,88500.0,932443
55,2025-11-03,88700.0,90200.0,87900.0,88600.0,927485
56,2025-10-31,86800.0,88500.0,86300.0,87600.0,1104075
57,2025-10-30,89100.0,90200.0,87100.0,87600.0,752690
58,2025-10-29,89700.0,89700.0,88100.0,88800.0,705875
