,name
0,NVIDIA Corp
1,Amazon
2,IBM
3,BP
4,Gold
5,Silver
6,Brent Crude
7,Bitcoin to USD
8,Dow Jones Industrial Average
9,S and P 500
10,台積電ADR
11,台積電
12,Intel
13,Apple
14,AMD
15,可口可樂
16,廣達
17,宏碁
18,微星
19,緯創
20,緯穎
21,和碩
22,Vertiv Holdings
23,Eaton Corporation
24,Fabrinet
25,Oracle
26,Arista Networks
27,Nebius Group
28,Iris Energy
29,Cipher Mining
30,CrowdStrike
31,Centrus Energy
32,Cameco
33,Uranium Energy
34,Denison Mines
35,Constellation Energy
36,Vistra Corp
37,Talen Energy
38,NextEra Energy
39,Southern Company
40,Global X Uranium ETF
41,Sprott Uranium Miners ETF
42,VanEck Uranium Nuclear ETF
43,Cleantech Grid ETF
44,Global X Defense Tech ETF
45,MP Materials
46,Lynas Rare Earths
47,4U Uranium
48,Lynas Rare Earths Ltd
49,Albemarle
50,Sociedad Quimica y Minera
51,USA Rare Earth
52,American Battery Technology
53,VanEck Rare Earth ETF
54,Broadcom
55,Kratos Defense
56,ThredUp
57,EOSE Energy
58,MercadoLibre
59,SoFi Technologies
60,Rubrik
61,Google
62,Yahoo
63,Meta
64,91APP
65,Appier
